0	479
0,01	479
0,02	479
0,03	479
0,04	479
0,05	479
0,06	479
0,07	478
0,08	478
0,09	479
0,1	479
0,11	479
0,12	479
0,13	478
0,14	479
0,15	479
0,16	478
0,17	478
0,18	478
0,19	478
0,2	479
0,21	478
0,22	479
0,23	479
0,24	479
0,25	478
0,26	478
0,27	479
0,28	478
0,29	478
0,3	479
0,31	479
0,32	478
0,33	479
0,34	479
0,35	479
0,36	478
0,37	477
0,38	479
0,39	478
0,4	478
0,41	478
0,42	479
0,43	477
0,44	477
0,45	478
0,46	479
0,47	479
0,48	479
0,49	479
0,5	479
0,51	479
0,52	479
0,53	479
0,54	479
0,55	478
0,56	479
0,57	478
0,58	478
0,59	479
0,6	478
0,61	478
0,62	479
0,63	477
0,64	479
0,65	478
0,66	478
0,67	479
0,68	478
0,69	479
0,7	479
0,71	479
0,72	479
0,73	478
0,74	479
0,75	478
0,76	478
0,77	479
0,78	479
0,79	478
0,8	478
0,81	478
0,82	478
0,83	479
0,84	479
0,85	479
0,86	478
0,87	478
0,88	478
0,89	478
0,9	478
0,91	478
0,92	478
0,93	478
0,94	478
0,95	479
0,96	478
0,97	479
0,98	478
0,99	478
1	479
1,01	479
1,02	479
1,03	479
1,04	479
1,05	478
1,06	479
1,07	478
1,08	480
1,09	478
1,1	478
1,11	479
1,12	478
1,13	478
1,14	479
1,15	478
1,16	478
1,17	478
1,18	479
1,19	479
1,2	478
1,21	478
1,22	478
1,23	478
1,24	478
1,25	479
1,26	478
1,27	479
